,AGE,SEX,POP,RACE,us,agecat,agecat2,agecat3,agecat4,agecat5
1365,11,1,58287,9,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1366,11,1,157654,10,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1367,11,1,15022,11,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1368,12,1,2149819,0,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1369,12,1,1556594,1,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1370,12,1,324742,2,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1371,12,1,34912,3,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1372,12,1,113374,4,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1373,12,1,6380,5,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1374,12,1,113817,6,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1375,12,1,1661010,7,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1376,12,1,385601,8,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1377,12,1,58552,9,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1378,12,1,154945,10,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1379,12,1,14689,11,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1380,13,1,2132987,0,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1381,13,1,1555151,1,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1382,13,1,315879,2,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1383,13,1,34185,3,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1384,13,1,112172,4,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1385,13,1,6269,5,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1386,13,1,109331,6,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
